committee_id,committee_name,report_year,report_type,image_number,filing_form,link_id,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_city,recipient_state,recipient_zip,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_type_description,disbursement_description,disbursement_purpose_category,memo_code,memo_code_full,memo_text,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office_state,candidate_office_state_full,election_type,election_type_full,fec_election_type_desc,fec_election_year,two_year_transaction_period,amendment_indicator,amendment_indicator_desc,schedule_type,schedule_type_full,load_date,sub_id,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,pdf_url,line_number_label,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_employer,payee_occupation,category_code,category_code_full,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,ref_disp_excess_flg,comm_dt,spender_committee_type,spender_committee_org_type,spender_committee_designation
C00701698,SWALWELL FOR AMERICA,2019,TER,202001319184091470,F3P,4013120201686193150,28A,500069354,1376364,ORG,ORGANIZATION,,,"FIDELITY BROKERAGE SERVICES, LLC.",BOSTON,MA,022102031,,,,,VOID STATE DATE CHECK ISSUED 07/31/19; REDESIGNATED AND TRANSFERRED TO SWALWELL FOR CONGRESS,OTHER,,,,2019-12-31 00:00:00,-2800.00,,,,,,,,,,,,,G2020,,GENERAL,2020,2020,A,ADD,SB,ITEMIZED DISBURSEMENTS,2020-02-05 03:41:46.798,4020420201686921659,,,,0.00,http://docquery.fec.gov/cgi-bin/fecimg/?202001319184091470,Refunds of Contributions to Individuals/Persons Other Than Political Committees,,,,,,,,,,,,,,,,,,P,,P
C00701698,SWALWELL FOR AMERICA,2019,TER,202001319184091470,F3P,4013120201686193150,28A,500069359,1376364,IND,INDIVIDUAL,,,"NICKERSON, SHEILA B.",BELLINGHAM,WA,982257710,,,22Y,CONTRIBUTION REFUND TO INDIVIDUAL,VOID STALE DATE CHECK ISSUED 07/31/19; REDESIGNATED AND TRANSFERRED TO SWALWELL FOR AMERICA,REFUNDS,,,,2019-12-31 00:00:00,-1600.00,,,,,,,,,,,,,G2020,,GENERAL,2020,2020,A,ADD,SB,ITEMIZED DISBURSEMENTS,2020-02-05 03:41:46.798,4020420201686921661,,,,0.00,http://docquery.fec.gov/cgi-bin/fecimg/?202001319184091470,Refunds of Contributions to Individuals/Persons Other Than Political Committees,NICKERSON,SHEILA,B.,,,,,,,,,,,,,,,P,,P
C00701698,SWALWELL FOR AMERICA,2019,TER,202001319184091468,F3P,4013120201686193150,23,500069358,1376364,ORG,ORGANIZATION,,,THE WHITE COMPANY,WEST PALM BEACH,FL,334016161,,,,,VOID STALE DATE CHECK FOR WEB VIDEO AND PROCESSING ISSUED 07/01/19; PERMISSIBLE LLC,OTHER,,,,2019-12-31 00:00:00,-749.15,,,,,,,,,,,,,,,,,2020,A,ADD,SB,ITEMIZED DISBURSEMENTS,2020-02-05 03:41:46.795,4020420201686921652,,,,0.00,http://docquery.fec.gov/cgi-bin/fecimg/?202001319184091468,Operating Expenditures,,,,,,,,,,,,,,,,,,P,,P
C00701698,SWALWELL FOR AMERICA,2019,TER,202001319184091467,F3P,4013120201686193150,23,500069349,1376364,IND,INDIVIDUAL,,,"GLASER, BENJAMIN K.",SIOUX CITY,IA,511042730,,,,,VOID STALE DATE CHECK FOR MILEAGE ISSUED 07/10/19,OTHER,,,,2019-12-31 00:00:00,-198.42,,,,,,,,,,,,,,,,,2020,A,ADD,SB,ITEMIZED DISBURSEMENTS,2020-02-05 03:41:46.795,4020420201686921649,,,,0.00,http://docquery.fec.gov/cgi-bin/fecimg/?202001319184091467,Operating Expenditures,GLASER,BENJAMIN,K.,,,,,,,,,,,,,,,P,,P
C00701698,SWALWELL FOR AMERICA,2019,TER,202001319184091470,F3P,4013120201686193150,28A,500069356,1376364,IND,INDIVIDUAL,,,"MONTGOMERY, HARPER",NEW YORK,NY,100039605,,,22Y,CONTRIBUTION REFUND TO INDIVIDUAL,VOID STALE DATE CHECK ISSUED 07/31/19; REDESIGNATED AND TRANSFERRED TO SWALWELL FOR CONGRESS,REFUNDS,,,,2019-12-31 00:00:00,-100.00,,,,,,,,,,,,,G2020,,GENERAL,2020,2020,A,ADD,SB,ITEMIZED DISBURSEMENTS,2020-02-05 03:41:46.798,4020420201686921660,,,,0.00,http://docquery.fec.gov/cgi-bin/fecimg/?202001319184091470,Refunds of Contributions to Individuals/Persons Other Than Political Committees,MONTGOMERY,HARPER,,,,,,,,,,,,,,,,P,,P
C00701698,SWALWELL FOR AMERICA,2019,TER,202001319184091471,F3P,4013120201686193150,28A,500069362,1376364,IND,INDIVIDUAL,,,"TUSK, BRADLEY",NEW YORK,NY,100039610,,,22Y,CONTRIBUTION REFUND TO INDIVIDUAL,VOID STALE DATE CHECK DATED 07/31/19; REDESIGNATED AND TRANSFERRED TO SWALWELL FOR CONGRESS,REFUNDS,,,,2019-12-31 00:00:00,-100.00,,,,,,,,,,,,,G2020,,GENERAL,2020,2020,A,ADD,SB,ITEMIZED DISBURSEMENTS,2020-02-05 03:41:46.798,4020420201686921663,,,,0.00,http://docquery.fec.gov/cgi-bin/fecimg/?202001319184091471,Refunds of Contributions to Individuals/Persons Other Than Political Committees,TUSK,BRADLEY,,,,,,,,,,,,,,,,P,,P
C00701698,SWALWELL FOR AMERICA,2019,TER,202001319184091471,F3P,4013120201686193150,28A,500069364,1376364,IND,INDIVIDUAL,,,"WEXLER, KENNETH A.",GLENCOE,IL,600221759,,,22Y,CONTRIBUTION REFUND TO INDIVIDUAL,VOID STALE DATE CHECK ISSUED 07/31/19; REDESIGNATED AND TRANSFERRED TO SWALWELL FOR CONGRESS,REFUNDS,,,,2019-12-31 00:00:00,-100.00,,,,,,,,,,,,,G2020,,GENERAL,2020,2020,A,ADD,SB,ITEMIZED DISBURSEMENTS,2020-02-05 03:41:46.799,4020420201686921664,,,,0.00,http://docquery.fec.gov/cgi-bin/fecimg/?202001319184091471,Refunds of Contributions to Individuals/Persons Other Than Political Committees,WEXLER,KENNETH,A.,,,,,,,,,,,,,,,P,,P
C00701698,SWALWELL FOR AMERICA,2019,TER,202001319184091471,F3P,4013120201686193150,28A,500069361,1376364,IND,INDIVIDUAL,,,"SKINNER, STEPHEN",SAN DIEGO,CA,921035009,,,22Y,CONTRIBUTION REFUND TO INDIVIDUAL,VOID STATE DATE CHECK ISSUED 07/31/19; REDESIGNATED AND TRANSFERRED TO SWALWELL FOR CONGRESS,REFUNDS,,,,2019-12-31 00:00:00,-25.00,,,,,,,,,,,,,G2020,,GENERAL,2020,2020,A,ADD,SB,ITEMIZED DISBURSEMENTS,2020-02-05 03:41:46.798,4020420201686921662,,,,0.00,http://docquery.fec.gov/cgi-bin/fecimg/?202001319184091471,Refunds of Contributions to Individuals/Persons Other Than Political Committees,SKINNER,STEPHEN,,,,,,,,,,,,,,,,P,,P
C00701698,SWALWELL FOR AMERICA,2019,TER,202001319184091467,F3P,4013120201686193150,23,500069357,1376364,IND,INDIVIDUAL,,,"SWALWELL, ERIC",DUBLIN,CA,945680847,,,,,VOID STALE DATE FOR TRAVEL EXPENSES ISSUED 05/14/19; DUPLICATE PAYMENT MADE ON 09/26/19,MATERIALS,,,,2019-12-31 00:00:00,-24.00,,,,,,,,,,,,,,,,,2020,A,ADD,SB,ITEMIZED DISBURSEMENTS,2020-02-05 03:41:46.795,4020420201686921651,,,,0.00,http://docquery.fec.gov/cgi-bin/fecimg/?202001319184091467,Operating Expenditures,SWALWELL,ERIC,,,,,,,,,,,,,,,,P,,P
C00701698,SWALWELL FOR AMERICA,2019,Q3,201910159163936760,F3P,4101520191674204872,23,500064244,1357668,ORG,ORGANIZATION,,,CASEY'S GENERAL STORE,ADAIR,IA,500021160,,,,,FOOD AND BEVERAGE,OTHER,X,,*,2019-07-05 00:00:00,0.69,,,,,,,,,,,,,,,,,2020,A,ADD,SB,ITEMIZED DISBURSEMENTS,2019-10-26 03:40:19.235,4102520191675424355,,500063802,SB23,0.00,http://docquery.fec.gov/cgi-bin/fecimg/?201910159163936760,Operating Expenditures,,,,,,,,,,,,,,,,,,P,,P
